Date,Heading,Article,Category,Paper,Link,City
2016-11-09 06:32:00,Currency demonetisation: RBI got 6 months to prepare for this,"NEW DELHI: Around six months ago, the government asked the RBI to prepare for its latest assault on black money, and told the currency manager to print more Rs 50 and Rs 100 notes, with PM Modi having decided to phase out the current lot of Rs 500 and Rs 1,000 notes earlier this year.    After all the task was humongous: replacing 23 billion notes. Besides, the information had to be kept confidential at all costs.    In any case, apart from the PM, only finance minister Arun Jaitley knew, and two senior officers each in the finance ministry and the RBI were in the loop.    The six months were used not just to print enough Rs 50 and Rs 100 currency notes, but also to plan the operations meticulously. This meant that, on Tuesday , the Reserve Bank of India initiated the first ""public"" move when its board met around 6 pm and recommended the withdrawal of Rs 500 and Rs 1,000 notes. Soon, the government, which was ready with the notification, moved the Cabinet, which met at 6.30 pm on Tuesday. The decision was taken and the PM went on air to announce the first demonetisation in 38 years.    The government's calculation was simple. It sees major gains accruing to the economy , beginning with an immediate halt to black money transactions -at least in the near run. This is expected to force people to use only legal channels, which will result in higher tax es in the government's kitty .    While those showing ""agricultural income"" can still use a possible loop transact in cash, the hole to transact in cash, the window is seen to be limited and the government expects bulk of the funds to flow into the banking system. This itself is going to provide more boost for lending, which has remained subdued, a senior government official said. ""We have hastened the printing of these notes,"" RBI governor Urjit Patel said.",business,toi,http://timesofindia.indiatimes.com//business/india-business/Currency-demonetisation-RBI-got-6-months-to-prepare-for-this/articleshow/55323411.cms,
2016-11-09 13:25:00,"Demonetisation move to create corruption-free India, PM Narendra Modi says","NEW DELHI: The decision to scrap Rs 500 and Rs 1000 currency notes was taken to create a ""corruption-free"" India, Prime Minister Narendra Modi said on Wednesday as a number of personalities from film and other fraternities welcomed the step.    Among those who welcomed the decision were film personalities Karan Johar, Rajnikanth, Ajay Devgn, Kamal Hasan, Nagarjuna, Ritesh Deshmukh, Subhash Ghai, Siddharth Malhotra, cricketer Anil Kumble and Harbhajan Singh who tweeted to the Prime Minister praising him for the bold move.    ""This step was taken in the interest of our honest citizens who deserve a better India,"" Modi said on Twitter in response to southern star Kamal Hasan who said, ""This move has to be celebrated across political party lines. Most importantly by earnest tax payers"".    Superstar Rajnikanth said,"" Hats off @narendramodi ji. New india is born #JaiHind"".    ""Corrupt practices and black money have to be eliminated and that is when we will scale new heights of progress,"" the Prime Minister said in response to Sufi singer Kailash Kher's tweet that ""This is a historical day in the history of mankind. Our Nation Bharat will soon be at par with developed countries @narendramodi GodBlessYoU"".      Thank you. Corrupt practices and black money have to be eliminated and that is when we will scale new heights of progress.    https://t.co/SldJb4mHJO    — Narendra Modi (@narendramodi)    November 9, 2016  Film maker Karan Johar said in a tweet, ""This is truly a masterstroke move!!!! @narendramodi hits it out of the stadium!!!! ????.    Thanking Karan Johar, the Prime Minister said, ""Thanks @karanjohar. We must create an India that is corruption free for our future generations. #IndiaFightsCorruption"".      Thanks    @karanjohar    . We must create an India that is corruption free for our future generations.    #IndiaFightsCorruptionhttps://t.co/QuY7vx3phO    — Narendra Modi (@narendramodi)    November 9, 2016  Film actor Nagarjuna congratulated the Prime Minister for ""rewarding us tax payers/india on the way to become a super economy????"".    ""This step will check corruption, black money and fake currency rackets that slow our progress,"" the Prime Minister said in his response.    On cricketer Anil Kumble's comment that ""Massive googly bowled by our Hon. PM @narendramodi today. Well done Sir! Proud of you!!,"" Modi said, ""This coming from one of India's most admired cricketers, whose bowling caught many batsmen by surprise"".      This coming from one of India's most admired cricketers, whose bowling caught many batsmen by surprise. :)    https://t.co/43OQ7oKMrW    — Narendra Modi (@narendramodi)    November 9, 2016  The Prime Minister said, ""All of us have to work shoulder to shoulder and create a prosperous, inclusive and corruption free India"".    Modi last night announced that high denomination notes of Rs 500 and Rs 1000 will no longer be legal tender to fight against black money and corruption.",india,toi,http://timesofindia.indiatimes.com//india/Demonetisation-move-to-create-corruption-free-India-PM-Narendra-Modi-says/articleshow/55329353.cms,
2016-11-09 11:14:00,Demonetisation leads to chaos on Delhi-Gurgaon expressway,"GURUGRAM: The ban on Rs 500 and Rs 1000 currency notes literally stopped the speed of the Millennium City. On Wednesday morning, heavy jams were seen on both sides of the Kherki Daula toll Plaza on Delhi-Gurgaon expressway.Two vital issues led to the snarls that lasted for around two hours near the toll booth. Firstly, due to shortage of small currency, more commuters preferred app based cabs instead of taking shared public transport. This increased the number of vehicles on the roads leading to congestion on the roads. Then the situation only got worse as the commuters insisted on paying the toll fee only through the now banned currency i.e. Rs 500 and Rs 1,000 notes. While, the booth operators insisted that their change has already been exhausted. However, the local and traffic police intervened and situation was restored at around 10am.",city,toi,http://timesofindia.indiatimes.com//city/gurgaon/Demonetisation-leads-to-chaos-on-Delhi-Gurgaon-expressway/articleshow/55327236.cms,gurgaon
2016-11-10 12:28:00,Currency demonetization puts odds against casinos,"PANAJI: Fortunes of the five offshore casino operators in Goa seemed to hang as uncertain as the ball spinning on the roulette table after news broke out of the demonetization of 500 and 1,000 notes on Tuesday night.    Casino operators were left baffled and wondering how business will continue. ""So you want to catch a thief, and to do so, you light your house on fire. The thief may be caught, but your house has been burned,"" an offshore casino operator told TOI.    Reacting to the PM's announcement on Tuesday night, chief minister Laxmikant Parsekar had said ""Casinos are likely to get affected. All those with black money will be affected. Those with clean money need not worry.""    Even though no official comments were made by casino managements, several sources indicated a significant dip in operations. While some casino operators have stopped accepting notes of 500 and 1,000 denominations, others continue to accept the scrapped currency notes up to a specified limit.    ""Our company seniors have directed us to accept 500 and 1,000 notes for now, but with an upper limit of 5,000. No one can buy chips worth more than that and this is applicable to payments also made by credit cards,"" said a casino employee, adding that winning proceeds are also paid to punters in the denominations of 500 and 1,000.    An operating head of an offshore casino said that business has been affected badly, and they have been running short of currency notes to reward winners. ""Most are unwilling to accept 500 and 1,000 notes,"" he said.    Casinos, which earn one-third of Goa's total entertainment tax, have also imposed a restriction on gamblers taking away the winning chips in order to stop them from being used to convert black money. It is also feared that state coffers may be hit by the dip in casino business in the next few months. Commissioner, commercial taxes, Dipak Bandekar said ""We are receiving information of casino operations being hit"". Cars were seen lining up on Wednesday night along the Mandovi river promenade where customers are ferried to the offshore vessels. For the record, offshore casino vessels also offer entertainment and dining facilities which attracts tourists as well as locals.",city,toi,http://timesofindia.indiatimes.com//city/goa/Currency-demonetization-puts-odds-against-casinos/articleshow/55341027.cms,goa
2017-01-24 12:52:00,Kannada film shoots stalled because of demonetization,"The currency demonetization came as a surprise to people on Tuesday, with many not prepared for the immediate outcome. The Kannada industry has taken a beating, given how this short notice makes it inconvenient for many filmmakers to proceed/plan their shoot schedules. Many filmmakers were stumped with the decision, but hailed PM Narendra Modi's step to curb corruption and black money.    An industry insider says, 'It is not easy to suddenly begin working with cheques, given that the industry has always dealt with cash transactions across the board.'    Shooting of several under-production films has apparently been temporarily halted as production teams are unable to source smaller denomination notes to make payments to crew members, as well as for other day-to-day incidental expenses, including food and beverages, rentals on props like vehicles, etc.    While there is no official confirmation on this, a source at the Karnataka Film Workers and Technicians Union (KFWTU) admitted that several producers called to request that work progress as usual, with the promise of arranging funds to be disbursed as payments in the next couple of days. 'Production teams have asked for 2-3 days time to organize alternate payment options. We have given them the option to make cheque payments, which should solve the problem, but if they are dealing with black money, that is an issue,' says Chennaveerappa of the KFWTU.    Industry insiders are also saying that this could affect new films that are in the pipeline. 'There will be a lot of re-evaluation of investments from producers, as they borrow money from financiers who have liquid cash at their disposal always. Some producers will have to seek newer avenues,' says the source.    Another interesting trend could be greater investment from corporate entities in Sandalwood. 'The industry has earlier seen some big corporate names from Bollywood enter, but to no avail. This might break the monopoly of certain people and allow private and corporate bodies in Sandalwood,' adds another industry watcher.    John Jani Janardhan release pushed    The release of the Kannada film John Jani Janardhan, which was to hit movie halls on November 11, has been pushed. 'Audiences have no money for their livelihood, how will they come and watch a film? The percentage of those who would buy tickets online is minimal and we cannot risk releasing the film at a time like this. It will take some time for things to revert to normalcy. We will release the film on December 9,' says producer Padmanabha Gowda.",entertainment,toi,http://timesofindia.indiatimes.com//entertainment/kannada/movies/news/Kannada-film-shoots-stalled/articleshow/55332090.cms,
2016-11-10 01:47:00,"Demonetisation puts tourists in trouble, spoils plans","CHENNAI: Travellers and tourists had a tough time at airports and railway stations while many travel agents suspended booking of tours and flight tickets on Wednesday, a day after the Union government declared Rs500 and Rs1,000 notes invalid. Though railway stations were accepting the currency, a few counters ran out of change and the absence of ATMs aggravated the issue.    Sources said foreigners who landed at Chennai and Trichy had difficulty changing dollars into the required amount of Indian rupee while those who were returning could not return the currency and buy dollars. Tourists at small towns had to face difficulty because many of the shops do not have card reading machines.    The situation at Chennai airport was better because cards are accepted for food and beverages at the terminals and airlines accepted Rs 500 and Rs 1,000 notes for booking tickets. However, Indigo did not allow use of the denomination for in-flight purchase and to pay excess baggage fee at the airport.    N Sadhakathulla who landed at Trichy said, ""During my travel from Kuala Lumpur, I came to know about the announcement. But I thought that we can get the required Rs 100 currencies from 'Currency Note Exchange Desk' at Trichy airport. However, we could not get the required volume.""    Those who had visa appointments had a difficult time because VFS did not accept the denomination which were declared invalid.    Travel Agents Federation of India office-bearer Basheer Ahmed said, ""Ticketing had to be temporarily stopped because of payment problem to IATA. We are also in talks with VFS to accept the currency. Today people who went to pay visa fees had a problem.""    Domestic and foreign tourists faced a tough time buying food and making purchases at restaurants and shops at small tourist towns like Ooty where many establishments do not have card reader machines and refused to accept the currency notes. In most of the tourist spots shops that sell souvenirs and local delicacies accept only cash. A few tourists missed on buying Nilgiri tea and home-made chocolates because the shops that sell these items accept cash only.    L Rakesh and Sharmila, who reached in Ooty on Tuesday morning from Hyderabad for a four-day holiday, suffered because they were strangers and shops were not accepting the money they had. Hiring an autorickshaw for visiting tourist spots became very difficult and at the end they were left with only option of walking the possible distances they could.    ""We have Rs 1,000 and Rs 500 notes only. Breakfast is free at the hotel so we are able to manage. But for other expenses during the day we are finding it very difficult"", he said.    Those who travelled by Omni buses did not face much problem because tickets were booked online. An Omni bus operator said, ""There was only 40% to 30% occupancy on buses of which 70% of the tickets were booked online. We accepted the currency because we did not want to turn away customers.""    The invalid notes were accepted at railway stations. But there was chaos at ticket counters at Central and Egmore because staff ran out of Rs100 notes. A railway official said, ""We gathered more liquid cash of Rs100 denomination soon after the announcement came. But that was also not adequate.""",city,toi,http://timesofindia.indiatimes.com//city/chennai/Demonetisation-puts-tourists-in-trouble-spoils-plans/articleshow/55340898.cms,chennai
2016-11-10 04:00:00,"Demonetisation hits jewellery, realty stocks","Even as gold prices surged to a four-month high on Wednesday, stocks of jewellery and real estate companies plunged on the bourses due to fears of the impact of demonetisation of Rs 500 and Rs 1,000 notes on the sector. While the Tribhovandas Bhimji Zaveri scrip nosedived 14% to Rs 68 on the BSE, the Thangamayil Jewellery stock crashed 12% to Rs 211. The PC Jeweller scrip fell by 9%, Gitanjali Gems and Jewellery 7% and Titan 5.3%. Nearly three-fourths of all jewellery purchases are with cash.    Real estate stocks also took a hit with Indiabulls Real Estate and DLF stocks crashing by 18.5% and 17.5% on the BSE, respectively. ""Bullion and real estate sectors have not been reporting their incomes properly. The markets won't be comfortable in giving them valuations if they don't report actual income,"" said Deven R Choksey, MD, KR Choksey Shares and Securities.    G Chokkalingam, founder and MD, Equinomics Research and Advisory, said, ""The outlook for jewellery demand is very bad. The drive against black money will curb demand for gold and jewellery in a big way.""    A Chennai-based jeweller said, ""Demonetisation means the economy is going to be slow for the next couple of months and this will reflect on the stock prices as well. Most investments would slow down as the sector would be impacted with reduction in the number of transactions.""",business,toi,http://timesofindia.indiatimes.com//business/india-business/Demonetisation-hits-jewellery-realty-stocks/articleshow/55341477.cms,
2016-11-10 04:23:00,Vid towns witness chaos following demonetization,"Nagpur: Like most parts of the country, the cities and towns of Vidarbha too witnessed chaos and panic on Wednesday due to demonetization of Rs500 and Rs1,000 currency notes. Those not having notes of Rs100 or lesser denomination faced problems in buying things including medicines. Petrol stations are authorized to take demonetized notes but most of them soon ran out of notes of smaller denomination and had to close down.    Various people reacted differently to the government's move. Even those viewed it favourably wished that it should have been done gradually so as to avoid inconvenience to common people.    Savita Ther, a domestic servant from Yavatmal, said, that she could not buy medicines as she did not had notes of smaller denomination. ""I had four Rs500 notes, which was given to me by my employer. I did not have notes of smaller denominations. The pharmacy shop owner simply refused to accept a Rs500 note,"" she added.    Anandrao Bhongle, a lawyer from Wani, welcomed the initiative by Modi govt to contain the black money and counterfeit notes but said that there should have been a liberal policy to enable the poor people to ensure that they could buy items of daily use.    Shopkeepers, professionals and their customers faced many problems. Dipak Bhutada, a Wardha grocery shop owner said that customers offered him only demonetized currency on Wednesday. ""As I did not have that much change my business went down by 50%,"" he told TOI.    Prakash Kahare of Chandrapur had a similar experience. ""I had little cash of small denomination notes in the morning to run my business throughout the day. Hence I entertained only those coming with notes of small denomination or those wanting to spend entire Rs500 or Rs1000 note or at least more than 80% of it at my shop.""    Dr Sachin Pavade of Wardha, said that people only offered high denomination notes. ""We refused them but as health care is an emergency service, we offered it on the promise of patients paying up later,"" he added.    Petrol station owners across the region were not so generous. In many cases they shut shop as they had run out of notes of smaller denomination. Most of the owners slammed the government for not giving them some time to arrange for small denomination notes.    Demonetization seems to have hit the MLC elections in Gondia and Bhandara districts. Rumours are rife that the public representatives, who will vote in this election, are reportedly asking for gold ornaments from the candidates and are refusing to take cash.",city,toi,http://timesofindia.indiatimes.com//city/nagpur/Vid-towns-witness-chaos-following-demonetization/articleshow/55340941.cms,nagpur
2016-11-10 06:32:00,Centre's demonetisation move impacts businesses across Kolhapur,"KOLHAPUR: The first day after Prime Minister Narendra Modi declared demonetisation of Rs 500 and Rs 1,000 currency notes, consumers in the city felt the heat as every shop owner and trader showed unwillingness in accepting the banned notes.    The decision also had an impact on eateries, local transport auto-rickshaw, retail owners and jewellers.    At many shops, the owners had displayed boards, stating that do not accept Rs 500 and Rs 1,000 currency notes. The demonetisation also led to a surge in gold prices from Rs 3,100 per gram to Rs. 3,400.    The jewellery shops were flooded on Tuesday night with customers buying gold. As the news spread, the Gujari area where jewellery shops are located was flooded with cash-rich people to buy gold. However, the same area was completely deserted on Wednesday and shop owners had put boards that Rs 500 and Rs 1000 notes will not be accepted.    ""On Tuesday people thronged our shops with available cash and purchased jewelleries. We cannot declare the amount of transaction, but have maintained proper account and will exchange the notes as per the rules,"" said owner of a jewellery shop based in Gujari.    According to sources, at some places the rates of gold jewellery were as high as Rs 45,000 per 10 gram and people were still buying it to convert their money into asset.    ""We were happy that the official rate of gold shot up, but rarely any customer visited our shop as he was not having enough legal currency. We denied accepting notes of Rs 500 and Rs 1,000,"" said another jeweller.    Impact on retail business: The retail business in the city was also affected as shop owners insisted on currency notes other than Rs 500 and Rs 1,000. People having debit and credit cards opted for electronic transactions and the business was as usual at the shops having this facility.    ""I woke up early in the morning and as usual visited grocery shop to buy eggs and bread. I handed over Rs 500 note which was denied by the grocery shop owner. I searched around four shops but no one was ready to accept the money. Finally, I had to buy grocery on credit,"" said Vishal Shinde, a resident of Rajarampuri.    Impact on transport services: Commuters travelling and entering city experienced difficulty on Tuesday as they were not having change and could not get any as the ATMs were out of order. The autorickshaw drivers at Central Bus Stand did not allow passengers having notes legal currency notes. Traffic cops also experienced difficulty as they did not have exchange after they charged errant drivers with a fine of Rs 100 or Rs 200.    Satishchandra Kamble, president of private luxury bus association, said, ""All members of our organization convened a meeting on Wednesday and decided to accept the notes of Rs. 500 and Rs 1,000 from tourists that will book tickets with us. Ours is a fair business and we do not need to worry about exchanging money. We will deposit these notes in our bank accounts.""    Subhash Jadhav, president of Kolhapur District Lorry Operators Association, said, ""The truck drivers are experiencing difficulties at fuel stations and dhabas. They can sustain for another one day with the cash available with them. We are worried how will they manage on road and exchange the cash they have with them.""",city,toi,http://timesofindia.indiatimes.com//city/kolhapur/Centres-demonetisation-move-impacts-businesses-across-Kolhapur/articleshow/55343283.cms,kolhapur
2016-11-10 06:00:00,CASH CONUNDRUM CONTINUESRealty prices may drop following demonetisation,"Visakhapatnam: With the central government announcing demonetisation of Rs 500 and Rs 1,000 notes, realty sources expect that land prices may drop drastically in the next six months to one year's time. Incidentally, gold prices have shot up to around Rs 1,800 per 10 grams overnight increasing from around Rs 28,700 on Tuesday to Rs 30,500 on Wednesday. However, traders said there was not much surge in gold transactions following the demonetisation drive.According to realty sources, apartment prices may remain stagnant for the next few months, while prices of land, especially plots and bulk land, are expected to take a hit. ""In the long run, prices of layouts, plots and bulk land will witness a drop as majority of the black money is parked in the form of land. So, now with the demonetisation drive, it will be difficult for these people who have illegally amassed such assets to sell their land,"" said a prominent builder in the city on conditions of anonymity.Another builder said, ""There are two types of investments in real estate -- one in the form of built-up space such as apartments and the other in the form of plots. Most of the apartment transactions are in white as the buyers are people who avail housing loans and purchase properties from builders. The second form is purchase of plots. If the government is able to plug the loopholes successfully, then purchase of new land by the people with black money will become difficult. In the long run, it is good for prospective buyers and also builders.""Furthermore, he said, ""The main raw material for apartments is land and plots are now making up for almost 50-60% of the cost of built-up space. If land prices fall, then apartments will become more affordable for people.""However, he said, ""Once the price of property reaches a certain level, then it will remain stagnant for a while. Further escalation which is usually seen year-on-year will not be there.""Referring to the situation in and around Vizag, a layout developer on conditions of anonymity said, ""Some of the people had purchased bulk land in areas such as Bhogapuram and Sabbavaram expecting to reap windfalls due to various airport and educational projects respectively. These people had doubled the prices citing demand during the last one-and-half years. They will definitely take a hit.""Meanwhile, the Vizagapatam Chamber of Commerce and Industry welcomed the demonetisation move and said, ""There is an estimated Rs 16 lakh crore in circulation and a bulk of that is in the form of unaccounted funds. In the short term, gold price may go up as a safe haven for investment. Real estate transactions will be severely impacted due to its nature and will see a downward trend in short to middle term. However its a welcome move in the long term. This move will help flush out unaccounted, counterfeit money as well as money used to fund terrorism. Though the government will expand its income tax payer base drastically, it will need to gear up to meet the requirements of the citizens with respect to electronic payments, small business transaction costs, government departments will need the wherewithal to deal with the flood of new assesees.""",city,toi,http://timesofindia.indiatimes.com//city/visakhapatnam/CASH-CONUNDRUM-CONTINUESRealty-prices-may-drop-following-demonetisation/articleshow/55339250.cms,visakhapatnam
